benchmark,qubits,gates,mid_meas,run_id,rng_seed,status,time_seconds,note
rqc_q100_g50_m20.py,100,50,20,4,20290405,SUCCESS,0.237198,
rqc_q100_g50_m20.py,100,50,20,5,20290406,SUCCESS,1.830797,
rqc_q100_g50_m20.py,100,50,20,6,20290407,SUCCESS,0.234765,
rqc_q100_g50_m20.py,100,50,20,7,20290408,SUCCESS,0.403998,
rqc_q100_g50_m20.py,100,50,20,8,20290409,SUCCESS,0.414253,
rqc_q100_g50_m20.py,100,50,20,9,20290410,SUCCESS,1.212001,
rqc_q100_g50_m20.py,100,50,20,10,20290411,SUCCESS,0.229817,
rqc_q100_g50_m20.py,100,50,20,11,20290412,SUCCESS,0.412593,
rqc_q100_g50_m20.py,100,50,20,12,20290413,SUCCESS,0.228661,
rqc_q100_g50_m20.py,100,50,20,13,20290414,SUCCESS,0.968275,
rqc_q100_g50_m20.py,100,50,20,14,20290415,SUCCESS,1.838928,
rqc_q100_g50_m20.py,100,50,20,15,20290416,SUCCESS,0.237633,
rqc_q100_g50_m20.py,100,50,20,16,20290417,SUCCESS,0.220697,
rqc_q100_g50_m20.py,100,50,20,17,20290418,SUCCESS,0.239263,
rqc_q100_g50_m20.py,100,50,20,18,20290419,SUCCESS,0.974470,
rqc_q100_g50_m20.py,100,50,20,19,20290420,SUCCESS,0.228819,
rqc_q100_g50_m20.py,100,50,20,20,20290421,SUCCESS,0.229584,
rqc_q100_g50_m20.py,100,50,20,21,20290422,SUCCESS,0.235011,
rqc_q100_g50_m20.py,100,50,20,22,20290423,SUCCESS,0.236993,
rqc_q100_g50_m20.py,100,50,20,23,20290424,SUCCESS,0.971873,
rqc_q100_g50_m20.py,100,50,20,24,20290425,SUCCESS,0.409627,
rqc_q100_g50_m20.py,100,50,20,25,20290426,SUCCESS,0.403862,
rqc_q100_g50_m20.py,100,50,20,26,20290427,SUCCESS,0.238735,
rqc_q100_g50_m20.py,100,50,20,27,20290428,SUCCESS,0.240733,
rqc_q100_g50_m20.py,100,50,20,28,20290429,SUCCESS,0.409381,
rqc_q100_g50_m20.py,100,50,20,29,20290430,SUCCESS,0.408060,
rqc_q100_g50_m20.py,100,50,20,30,20290431,SUCCESS,0.230980,
