benchmark,qubits,gates,mid_meas,run_id,rng_seed,status,time_seconds,note
rqc_q100_g50_m20.py,100,50,20,11,20290412,SUCCESS,0.360631,
rqc_q100_g50_m20.py,100,50,20,12,20290413,SUCCESS,0.206574,
rqc_q100_g50_m20.py,100,50,20,13,20290414,SUCCESS,0.878712,
rqc_q100_g50_m20.py,100,50,20,14,20290415,SUCCESS,1.663318,
rqc_q100_g50_m20.py,100,50,20,15,20290416,SUCCESS,0.214227,
rqc_q100_g50_m20.py,100,50,20,16,20290417,SUCCESS,0.216500,
rqc_q100_g50_m20.py,100,50,20,17,20290418,SUCCESS,0.210605,
rqc_q100_g50_m20.py,100,50,20,18,20290419,SUCCESS,0.880000,
rqc_q100_g50_m20.py,100,50,20,19,20290420,SUCCESS,0.206530,
rqc_q100_g50_m20.py,100,50,20,20,20290421,SUCCESS,0.205625,
rqc_q100_g50_m20.py,100,50,20,21,20290422,SUCCESS,0.211140,
rqc_q100_g50_m20.py,100,50,20,22,20290423,SUCCESS,0.210812,
rqc_q100_g50_m20.py,100,50,20,23,20290424,SUCCESS,0.876195,
rqc_q100_g50_m20.py,100,50,20,24,20290425,SUCCESS,0.364256,
rqc_q100_g50_m20.py,100,50,20,25,20290426,SUCCESS,0.364384,
rqc_q100_g50_m20.py,100,50,20,26,20290427,SUCCESS,0.212848,
rqc_q100_g50_m20.py,100,50,20,27,20290428,SUCCESS,0.212437,
rqc_q100_g50_m20.py,100,50,20,28,20290429,SUCCESS,0.364906,
rqc_q100_g50_m20.py,100,50,20,29,20290430,SUCCESS,0.364142,
rqc_q100_g50_m20.py,100,50,20,30,20290431,SUCCESS,0.207000,
rqc_q100_g50_m20.py,100,50,20,31,20290432,SUCCESS,0.214953,
rqc_q100_g50_m20.py,100,50,20,32,20290433,SUCCESS,0.212253,
rqc_q100_g50_m20.py,100,50,20,33,20290434,SUCCESS,0.211704,
rqc_q100_g50_m20.py,100,50,20,34,20290435,SUCCESS,0.213182,
rqc_q100_g50_m20.py,100,50,20,35,20290436,SUCCESS,0.514934,
rqc_q100_g50_m20.py,100,50,20,36,20290437,SUCCESS,0.212337,
rqc_q100_g50_m20.py,100,50,20,37,20290438,SUCCESS,0.211754,
rqc_q100_g50_m20.py,100,50,20,38,20290439,SUCCESS,0.205433,
rqc_q100_g50_m20.py,100,50,20,39,20290440,SUCCESS,0.205405,
rqc_q100_g50_m20.py,100,50,20,40,20290441,SUCCESS,0.206009,
rqc_q100_g50_m20.py,100,50,20,41,20290442,SUCCESS,0.213171,
rqc_q100_g50_m20.py,100,50,20,42,20290443,SUCCESS,3.569017,
rqc_q100_g50_m20.py,100,50,20,43,20290444,SUCCESS,0.360973,
rqc_q100_g50_m20.py,100,50,20,44,20290445,SUCCESS,0.882518,
rqc_q100_g50_m20.py,100,50,20,45,20290446,SUCCESS,0.211687,
rqc_q100_g50_m20.py,100,50,20,46,20290447,SUCCESS,0.518988,
rqc_q100_g50_m20.py,100,50,20,47,20290448,SUCCESS,0.214337,
rqc_q100_g50_m20.py,100,50,20,48,20290449,SUCCESS,0.889177,
